,aco_reward,aco_time,ga_reward,ga_time,pso_reward,pso_time
0,216,448.3831191062927,206,49.305721282958984,193,148.66212391853333
1,215,450.0390589237213,201,47.92679977416992,193,148.18085885047913
2,215,446.2680039405823,197,44.56689190864563,193,147.05394744873047
3,214,439.6638705730438,206,30.478964805603027,193,145.65527486801147
4,216,446.25123286247253,213,49.142014026641846,193,146.94575667381287
5,215,449.3586504459381,191,35.995574951171875,193,147.08190488815308
6,215,444.68290305137634,199,47.1325957775116,193,149.1070830821991
7,215,440.68888783454895,191,40.503169775009155,193,146.32232356071472
8,216,444.11085629463196,207,30.60081696510315,193,145.07146883010864
9,216,442.4932496547699,203,41.649266719818115,193,148.24117517471313
10,181,394.1740880012512,182,41.235496282577515,179,145.92154598236084
11,179,398.2101173400879,182,58.84644627571106,179,149.12411260604858
12,182,396.67690896987915,185,28.317508935928345,179,146.20850467681885
13,181,402.9303925037384,178,50.20690608024597,179,150.27634143829346
14,183,399.2702867984772,198,61.198126792907715,179,150.24325561523438
15,181,392.7786009311676,193,27.70851445198059,179,145.60873198509216
16,186,394.2873070240021,187,40.75690317153931,179,146.5531108379364
17,182,400.4948661327362,189,68.48983502388,179,151.8164780139923
18,181,396.15389823913574,176,36.01111102104187,179,146.96473789215088
19,183,407.0688331127167,177,74.86308264732361,179,152.32446765899658
20,257,535.1680011749268,242,45.81318497657776,257,162.57035994529724
21,248,477.0249879360199,257,59.37494111061096,257,151.88625025749207
22,248,481.47851395606995,248,73.29448699951172,257,153.8765308856964
23,248,476.1490092277527,251,46.956031799316406,257,150.61592316627502
24,248,472.28077578544617,245,35.464972496032715,257,147.88373970985413
25,247,465.2167932987213,248,33.261672258377075,257,147.64871048927307
26,248,465.4674003124237,243,46.813090562820435,257,149.02625226974487
27,253,475.7856402397156,253,62.99959635734558,257,152.69138717651367
28,248,471.5851991176605,249,62.63740587234497,257,151.3696005344391
29,248,468.71898126602173,242,40.11980128288269,257,149.03825902938843
30,196,404.4883544445038,190,26.050060272216797,194,144.73951077461243
31,200,409.98085474967957,196,49.781771659851074,194,148.48935222625732
32,197,411.36246395111084,197,45.22318196296692,194,149.27837538719177
33,197,413.2939670085907,198,49.13954973220825,194,149.69017028808594
34,200,408.55559182167053,208,41.79141283035278,194,149.21917819976807
35,196,409.9758207798004,189,27.64315676689148,194,147.62873792648315
36,197,408.1155550479889,194,47.21198105812073,194,147.90398573875427
37,199,412.9177339076996,217,75.3260293006897,194,152.389484167099
38,195,413.65162658691406,197,56.222227573394775,194,148.9140920639038
39,196,406.7831847667694,196,33.56608486175537,194,146.55531525611877
40,162,376.0339472293854,166,32.595866680145264,170,144.9636528491974
41,162,377.5476269721985,183,36.15443444252014,170,147.16523098945618
42,162,380.8216028213501,169,73.12481117248535,170,151.93030548095703
43,163,377.19195222854614,167,26.03180742263794,170,146.38755416870117
44,162,375.4290704727173,165,31.497214555740356,170,145.87686395645142
45,162,381.92375802993774,177,65.6746084690094,170,151.02717685699463
46,162,377.6920804977417,167,41.89390730857849,170,149.11691117286682
47,162,379.4388999938965,168,47.881861448287964,170,146.81237983703613
48,163,386.09958243370056,176,90.63225603103638,170,154.9767725467682
49,162,376.02294278144836,178,49.68327236175537,170,147.34447741508484
50,163,395.1006145477295,170,60.02331042289734,166,149.5303943157196
51,164,398.0407438278198,173,58.35295605659485,166,148.20625829696655
52,161,387.7398009300232,160,36.16767406463623,166,146.93824124336243
53,160,397.3074097633362,181,87.42074513435364,166,151.60932040214539
54,161,394.0010869503021,161,35.39233636856079,166,145.9512619972229
55,168,397.33205008506775,180,93.66990065574646,166,153.4657781124115
56,165,391.67463517189026,177,34.15181350708008,166,146.88838911056519
57,160,394.11439633369446,179,75.18911981582642,166,150.38912177085876
58,163,391.3193950653076,169,50.267693281173706,166,146.59030938148499
59,161,389.8388180732727,169,43.60353207588196,166,146.73621797561646
60,214,458.1954791545868,224,53.538702964782715,213,148.77755308151245
61,216,457.9216077327728,217,74.3746817111969,213,172.45012044906616
62,210,419.3990144729614,198,35.978588342666626,213,148.06180047988892
63,219,429.85972452163696,218,87.86180424690247,213,153.94083642959595
64,214,424.77522015571594,209,65.07919359207153,213,151.17670392990112
65,218,418.9645538330078,201,33.109193086624146,213,146.59753608703613
66,213,419.9968156814575,211,60.90353274345398,213,151.33484530448914
67,213,419.75107407569885,219,41.44067192077637,213,148.6664433479309
68,215,418.3867540359497,215,53.756091594696045,213,149.20613074302673
69,217,426.778751373291,207,55.369181394577026,213,150.33477354049683
70,199,410.5372402667999,215,60.27366662025452,208,149.8002016544342
71,198,409.2937562465668,204,59.25821495056152,208,151.39743947982788
72,196,409.5259928703308,215,35.602235317230225,208,145.2328040599823
73,201,406.344420671463,223,48.74324607849121,208,148.4908196926117
74,199,408.3418302536011,220,70.71654105186462,208,151.31224751472473
75,198,404.72881293296814,194,29.9748272895813,208,145.87402033805847
76,200,407.07944345474243,199,32.814154624938965,208,148.0822048187256
77,198,410.07060742378235,221,83.80286979675293,208,152.27385711669922
78,198,403.81956219673157,205,46.65635085105896,208,149.30409383773804
79,197,410.29728984832764,225,53.520286560058594,208,148.7795009613037
80,152,380.2354018688202,157,35.35539889335632,169,147.90625596046448
81,150,384.5501811504364,159,48.30092000961304,169,149.15482306480408
82,151,376.554048538208,157,25.061031818389893,169,146.199316740036
83,152,379.9583477973938,160,32.2420814037323,169,147.88309359550476
84,154,381.87709069252014,159,46.78597569465637,169,148.42677807807922
85,150,384.82411456108093,176,71.57334589958191,169,152.0538854598999
86,154,380.4787724018097,153,32.610721588134766,169,145.2583565711975
87,154,381.19555377960205,160,35.47093892097473,169,146.1291468143463
88,154,375.84812235832214,158,32.85135459899902,169,146.2271864414215
89,150,377.0024824142456,172,31.29044246673584,169,146.2692093849182
90,188,408.0042040348053,172,33.111896276474,172,146.74985241889954
91,188,415.29174041748047,183,46.34089708328247,172,148.31623196601868
92,186,408.48268270492554,171,65.71342968940735,172,151.4460847377777
93,187,408.3678331375122,173,50.35272192955017,172,149.03712511062622
94,188,410.88290190696716,177,33.343971252441406,172,147.3882360458374
95,187,414.69072556495667,181,56.616501331329346,172,149.22642374038696
96,185,413.3330612182617,178,45.60746383666992,172,148.60242438316345
97,187,406.33209466934204,181,42.515186071395874,172,146.75966262817383
98,187,405.92414903640747,183,27.310251474380493,172,145.60900115966797
99,186,415.5781035423279,190,51.28600215911865,172,146.98746609687805
