,aco_reward,aco_time,ga_reward,ga_time,pso_reward,pso_time
0,89,88.16137266159058,119,12.685494184494019,107,13.414397716522217
1,88,91.05341100692749,106,9.964252710342407,107,16.068947315216064
2,89,91.91174960136414,109,14.250640153884888,107,16.815466165542603
3,89,92.22553205490112,110,21.893151998519897,107,17.22126531600952
4,89,92.13908076286316,101,10.614777565002441,107,16.337905406951904
5,89,92.50885510444641,121,15.014703512191772,107,17.107726097106934
6,90,92.41064667701721,109,17.080315113067627,107,17.380303859710693
7,89,92.84331011772156,119,20.32515835762024,107,16.93877387046814
8,88,92.46119904518127,114,19.172377824783325,107,16.968574047088623
9,90,94.00208711624146,127,21.729254484176636,107,17.066615104675293
10,96,89.81863832473755,117,22.284271717071533,107,17.06852388381958
11,99,88.96507263183594,113,19.54985523223877,107,17.087736129760742
12,96,88.38604950904846,109,14.674241304397583,107,16.747975826263428
13,97,89.2066752910614,110,11.188013553619385,107,16.291066884994507
14,96,89.45146775245667,115,18.54390525817871,107,17.09095311164856
15,97,91.43690013885498,118,34.3544921875,107,17.089507579803467
16,101,87.81503558158875,116,16.678542375564575,107,17.032145738601685
17,95,87.75125932693481,116,13.018948793411255,107,16.583208084106445
18,97,87.48667025566101,103,11.756951570510864,107,16.502718687057495
19,96,89.22999024391174,117,23.240997076034546,107,17.057995319366455
20,96,90.63653469085693,113,20.940587043762207,102,17.042691230773926
21,91,90.38828539848328,104,17.667251586914062,102,17.154610633850098
22,87,90.0098135471344,98,17.66662073135376,102,16.96206521987915
23,87,89.37335777282715,97,12.019228219985962,102,16.48302674293518
24,85,90.64067506790161,114,23.917268753051758,102,17.08442449569702
25,90,91.06858992576599,108,20.25761079788208,102,17.10637593269348
26,87,89.10331749916077,103,10.527708768844604,102,16.272404670715332
27,86,90.21255588531494,111,17.25125241279602,102,17.043729782104492
28,88,90.96662783622742,111,24.268309354782104,102,17.005598783493042
29,88,90.03387355804443,109,13.798240184783936,102,16.55376434326172
30,67,85.81624722480774,75,19.326607704162598,72,17.03825044631958
31,67,85.53707933425903,80,22.211409330368042,72,17.13922429084778
32,67,85.78650307655334,79,19.998062133789062,72,17.11928629875183
33,67,84.82013392448425,81,11.410378456115723,72,16.370493173599243
34,67,86.44931316375732,79,28.120026111602783,72,17.011059761047363
35,67,84.43776869773865,78,14.097299098968506,72,16.78164315223694
36,67,84.38073658943176,75,10.875871896743774,72,16.290704488754272
37,67,85.27193593978882,77,18.085707426071167,72,17.11751627922058
38,67,86.35783362388611,77,20.6546049118042,72,17.204835653305054
39,67,84.17668747901917,70,9.783939123153687,72,16.234663009643555
40,90,81.11320877075195,109,25.354978561401367,94,17.01652693748474
41,92,81.4474401473999,115,25.54797601699829,94,17.27031111717224
42,90,82.45976829528809,105,21.565988302230835,94,17.12051248550415
43,86,81.89453530311584,116,25.38959002494812,94,17.148070096969604
44,90,80.1114649772644,108,12.730968475341797,94,16.551698684692383
45,88,80.46094584465027,112,16.600263595581055,94,17.025696277618408
46,92,80.10696768760681,108,10.806996822357178,94,16.190462350845337
